DEBUG 2024-07-17 16:26:45,497 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\ops\tensor_array_ops.py first seen with mtime 1719939317.471457
DEBUG 2024-07-17 16:26:45,497 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\lite\tools\optimize\debugging\python\debugger.py first seen with mtime 1719939302.2443397
DEBUG 2024-07-17 16:26:45,497 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\scipy\linalg\basic.py first seen with mtime 1719862503.3424892
DEBUG 2024-07-17 16:26:45,498 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\scipy\linalg\decomp.py first seen with mtime 1719862503.3589802
DEBUG 2024-07-17 16:26:45,498 autoreload File C:\Users\miria\AppData\Local\Programs\Python\Python310\Lib\threading.py first seen with mtime 1680677242.0
DEBUG 2024-07-17 16:26:45,498 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\django\apps\__init__.py first seen with mtime 1719541363.3370512
DEBUG 2024-07-17 16:26:45,498 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1719541364.6432815
DEBUG 2024-07-17 16:26:45,498 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\ops\optional_grad.py first seen with mtime 1719939317.3937237
DEBUG 2024-07-17 16:26:45,498 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\distribute\mirrored_strategy.py first seen with mtime 1719939315.3472207
DEBUG 2024-07-17 16:26:45,498 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\api\_v2\keras\applications\vgg19\__init__.py first seen with mtime 1719939249.8308284
DEBUG 2024-07-17 16:26:45,498 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\platform\googletest.py first seen with mtime 1719939317.7731135
DEBUG 2024-07-17 16:26:45,499 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\jax\_src\numpy\polynomial.py first seen with mtime 1719862522.406816
DEBUG 2024-07-17 16:26:45,499 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\layers\__init__.py first seen with mtime 1719939249.9894223
DEBUG 2024-07-17 16:26:45,499 autoreload File C:\Users\miria\AppData\Local\Programs\Python\Python310\Lib\configparser.py first seen with mtime 1680677242.0
DEBUG 2024-07-17 16:26:45,499 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\saving\legacy\saved_model\base_serialization.py first seen with mtime 1719939250.63666
DEBUG 2024-07-17 16:26:45,499 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\pandas\compat\pyarrow.py first seen with mtime 1719939256.9866288
DEBUG 2024-07-17 16:26:45,499 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1719541364.6432815
DEBUG 2024-07-17 16:26:45,499 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\keras\saving\saved_model\save.py first seen with mtime 1719939316.8558066
DEBUG 2024-07-17 16:26:45,500 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\PIL\__init__.py first seen with mtime 1719859569.063425
DEBUG 2024-07-17 16:26:45,500 autoreload File C:\Users\miria\AppData\Local\Programs\Python\Python310\Lib\email\charset.py first seen with mtime 1680677242.0
DEBUG 2024-07-17 16:26:45,500 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\numpy\lib\nanfunctions.py first seen with mtime 1719939239.7339146
DEBUG 2024-07-17 16:26:45,500 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\distribute\distribute_coordinator_context.py first seen with mtime 1719939315.3315964
DEBUG 2024-07-17 16:26:45,500 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1719541364.6432815
DEBUG 2024-07-17 16:26:45,500 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\core\distributed_runtime\__init__.py first seen with mtime 1719939288.660296
DEBUG 2024-07-17 16:26:45,500 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\keras\engine\partial_batch_padding_handler.py first seen with mtime 1719939316.7148416
DEBUG 2024-07-17 16:26:45,500 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\profiler\internal\_pywrap_profiler.pyd first seen with mtime 1719939317.9591787
DEBUG 2024-07-17 16:26:45,502 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\jax\random.py first seen with mtime 1719862522.1715362
DEBUG 2024-07-17 16:26:45,502 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\_api\v2\compat\v1\gfile\__init__.py first seen with mtime 1719939287.6515484
DEBUG 2024-07-17 16:26:45,502 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\django\core\wsgi.py first seen with mtime 1719541364.6334436
DEBUG 2024-07-17 16:26:45,502 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorboard\compat\proto\tensor_shape_pb2.py first seen with mtime 1719939278.5166526
DEBUG 2024-07-17 16:26:45,502 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\django\db\backends\sqlite3\features.py first seen with mtime 1719541364.6888611
DEBUG 2024-07-17 16:26:45,502 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\scipy\linalg\_decomp_svd.py first seen with mtime 1719862503.4211798
DEBUG 2024-07-17 16:26:45,502 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\absl\flags\_exceptions.py first seen with mtime 1719859578.5521278
DEBUG 2024-07-17 16:26:45,503 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\pandas\io\stata.py first seen with mtime 1719939257.3499272
DEBUG 2024-07-17 16:26:45,503 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\applications\efficientnet_v2.py first seen with mtime 1719939250.0527081
DEBUG 2024-07-17 16:26:45,503 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\jaxlib\mlir\dialects\mhlo.py first seen with mtime 1719862520.3489535
DEBUG 2024-07-17 16:26:45,503 autoreload File C:\Users\miria\AppData\Local\Programs\Python\Python310\Lib\encodings\unicode_escape.py first seen with mtime 1680677242.0
DEBUG 2024-07-17 16:26:45,503 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\numpy\core\_add_newdocs.py first seen with mtime 1719939238.895409
DEBUG 2024-07-17 16:26:45,503 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\pandas\core\arrays\categorical.py first seen with mtime 1719939257.0647757
DEBUG 2024-07-17 16:26:45,503 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\_api\v2\__internal__\mixed_precision\__init__.py first seen with mtime 1719939287.5577967
DEBUG 2024-07-17 16:26:45,504 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\saving\legacy\saved_model\load.py first seen with mtime 1719939250.63666
DEBUG 2024-07-17 16:26:45,504 autoreload File C:\Users\miria\AppData\Local\Programs\Python\Python310\Lib\posixpath.py first seen with mtime 1680677242.0
DEBUG 2024-07-17 16:26:45,504 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\saving\legacy\saved_model\load_context.py first seen with mtime 1719939250.63666
DEBUG 2024-07-17 16:26:45,504 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\pandas\core\tools\timedeltas.py first seen with mtime 1719939257.3020463
DEBUG 2024-07-17 16:26:45,504 autoreload File C:\Users\miria\AppData\Local\Programs\Python\Python310\Lib\json\encoder.py first seen with mtime 1680677242.0
DEBUG 2024-07-17 16:26:45,504 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\optimizers\adagrad.py first seen with mtime 1719939250.5731773
DEBUG 2024-07-17 16:26:45,505 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\layers\normalization\unit_normalization.py first seen with mtime 1719939250.3371959
DEBUG 2024-07-17 16:26:45,505 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\scipy\special\__init__.py first seen with mtime 1719862505.148947
DEBUG 2024-07-17 16:26:45,505 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\_api\v2\compat\v1\tpu\experimental\embedding\__init__.py first seen with mtime 1719939287.7617133
DEBUG 2024-07-17 16:26:45,505 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1719541363.8233912
DEBUG 2024-07-17 16:26:45,505 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\core\distributed_runtime\preemption\__init__.py first seen with mtime 1719939288.660296
DEBUG 2024-07-17 16:26:45,505 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\grappler\__init__.py first seen with mtime 1719939316.4008334
DEBUG 2024-07-17 16:26:45,505 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\numpy\_utils\_convertions.py first seen with mtime 1719939240.4137976
DEBUG 2024-07-17 16:26:45,506 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\initializers\__init__.py first seen with mtime 1719939250.2269926
DEBUG 2024-07-17 16:26:45,506 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\django\utils\html.py first seen with mtime 1719541364.783188
DEBUG 2024-07-17 16:26:45,506 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\_api\v2\experimental\__init__.py first seen with mtime 1719939288.0301104
DEBUG 2024-07-17 16:26:45,506 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\ops\distributions\gamma.py first seen with mtime 1719939317.5032437
DEBUG 2024-07-17 16:26:45,506 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\training\experimental\__init__.py first seen with mtime 1719939318.3397543
DEBUG 2024-07-17 16:26:45,506 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\data\experimental\ops\from_list.py first seen with mtime 1719939314.9083102
DEBUG 2024-07-17 16:26:45,507 autoreload File C:\Users\miria\AppData\Local\Programs\Python\Python310\Lib\email\generator.py first seen with mtime 1680677242.0
DEBUG 2024-07-17 16:26:45,507 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\setuptools\_vendor\packaging\_structures.py first seen with mtime 1719541233.2817051
DEBUG 2024-07-17 16:26:45,507 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\django\utils\dates.py first seen with mtime 1719541364.7801015
DEBUG 2024-07-17 16:26:45,507 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\engine\node.py first seen with mtime 1719939250.1794128
DEBUG 2024-07-17 16:26:45,507 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\distribute\shared_variable_creator.py first seen with mtime 1719939315.3787208
DEBUG 2024-07-17 16:26:45,507 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1719541363.7357614
DEBUG 2024-07-17 16:26:45,507 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\pandas\util\_validators.py first seen with mtime 1719939259.2732944
DEBUG 2024-07-17 16:26:45,508 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorboard\summary\__init__.py first seen with mtime 1719939278.7389653
DEBUG 2024-07-17 16:26:45,508 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\core\protobuf\struct_pb2.py first seen with mtime 1719939288.7872405
DEBUG 2024-07-17 16:26:45,508 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\metrics\base_metric.py first seen with mtime 1719939250.5263083
DEBUG 2024-07-17 16:26:45,508 autoreload File C:\Users\miria\AppData\Local\Programs\Python\Python310\Lib\signal.py first seen with mtime 1680677242.0
DEBUG 2024-07-17 16:26:45,508 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\jax\_src\dlpack.py first seen with mtime 1719862522.2027807
DEBUG 2024-07-17 16:26:45,508 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\debug\lib\debug_events_writer.py first seen with mtime 1719939315.2841723
DEBUG 2024-07-17 16:26:45,508 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\export\export_lib.py first seen with mtime 1719939250.211346
DEBUG 2024-07-17 16:26:45,509 autoreload File C:\Users\miria\AppData\Local\Programs\Python\Python310\Lib\dis.py first seen with mtime 1680677242.0
DEBUG 2024-07-17 16:26:45,509 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\ops\ragged\__init__.py first seen with mtime 1719939317.59874
DEBUG 2024-07-17 16:26:45,509 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\tpu\device_assignment.py first seen with mtime 1719939318.1984012
DEBUG 2024-07-17 16:26:45,509 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\jax\_src\lax\utils.py first seen with mtime 1719862522.3596895
DEBUG 2024-07-17 16:26:45,509 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\jax\_src\lax\other.py first seen with mtime 1719862522.3596895
DEBUG 2024-07-17 16:26:45,509 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\layers\preprocessing\text_vectorization.py first seen with mtime 1719939250.3849568
DEBUG 2024-07-17 16:26:45,510 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\_api\v2\__internal__\distribute\__init__.py first seen with mtime 1719939287.5420842
DEBUG 2024-07-17 16:26:45,510 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\compiler\tf2xla\ops\__init__.py first seen with mtime 1719939288.5503626
DEBUG 2024-07-17 16:26:45,511 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\utils\traceback_utils.py first seen with mtime 1719939250.730905
DEBUG 2024-07-17 16:26:45,511 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\jax\_src\lax\qdwh.py first seen with mtime 1719862522.3596895
DEBUG 2024-07-17 16:26:45,511 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\dtensor\__init__.py first seen with mtime 1719939250.1321878
DEBUG 2024-07-17 16:26:45,511 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\engine\__init__.py first seen with mtime 1719939250.148015
DEBUG 2024-07-17 16:26:45,511 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\saved_model\save_options.py first seen with mtime 1719939318.1046698
DEBUG 2024-07-17 16:26:45,511 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\keras\src\layers\kernelized.py first seen with mtime 1719939250.2269926
DEBUG 2024-07-17 16:26:45,512 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\pandas\core\api.py first seen with mtime 1719939257.0022514
DEBUG 2024-07-17 16:26:45,512 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\opt_einsum\path_random.py first seen with mtime 1719859995.9383001
DEBUG 2024-07-17 16:26:45,512 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\tensorflow\python\ops\custom_gradient.py first seen with mtime 1719939317.156351
DEBUG 2024-07-17 16:26:45,512 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\numpy\core\_methods.py first seen with mtime 1719939238.9111762
DEBUG 2024-07-17 16:26:45,512 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\pandas\compat\__init__.py first seen with mtime 1719939256.9866288
DEBUG 2024-07-17 16:26:45,512 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1719541363.4834528
DEBUG 2024-07-17 16:26:45,514 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1719541364.6734068
DEBUG 2024-07-17 16:26:45,514 autoreload File D:\Paola\Modular\ProyectoModular\PetTrace-Backend\venv\Lib\site-packages\pandas\tseries\frequencies.py first seen with mtime 1719939259.257458
